"ensembl_gene_id"	"description"	"uniprot_gn_symbol"
"2961"	"ENSMUSG00000047238"	"MAGE family member H1 [Source:MGI Symbol;Acc:MGI:1922875]"	"Mageh1"
"2962"	"ENSMUSG00000047248"	"C2 calcium-dependent domain containing 3 [Source:MGI Symbol;Acc:MGI:2142166]"	"C2cd3"
"2963"	"ENSMUSG00000047250"	"prostaglandin-endoperoxide synthase 1 [Source:MGI Symbol;Acc:MGI:97797]"	"Ptgs1"
"2964"	"ENSMUSG00000047409"	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like [Source:MGI Symbol;Acc:MGI:1916524]"	"Ctdspl"
"2965"	"ENSMUSG00000047423"	"expressed sequence AI837181 [Source:MGI Symbol;Acc:MGI:2147598]"	"Bles03"
"2966"	"ENSMUSG00000047434"	"xyloside xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2146443]"	"Xxylt1"
"2967"	"ENSMUSG00000047501"	"claudin 4 [Source:MGI Symbol;Acc:MGI:1313314]"	"Cldn4"
"2968"	"ENSMUSG00000047534"	"MIS18 binding protein 1 [Source:MGI Symbol;Acc:MGI:2145099]"	"Mis18bp1"
"2969"	"ENSMUSG00000047547"	"clathrin, light polypeptide (Lcb) [Source:MGI Symbol;Acc:MGI:1921575]"	"Cltb"
"2970"	"ENSMUSG00000047617"	"non-homologous end joining factor [Source:MGI Symbol;Acc:MGI:2442831]"	"Paxx"
"2971"	"ENSMUSG00000047728"	"lymphocyte antigen 6 complex, locus G2 [Source:MGI Symbol;Acc:MGI:2385015]"	"Ly6g2"
"2972"	"ENSMUSG00000047731"	"WW domain binding protein 1 like [Source:MGI Symbol;Acc:MGI:107577]"	"Wbp1l"
"2973"	"ENSMUSG00000047735"	"sterile alpha motif domain containing 9-like [Source:MGI Symbol;Acc:MGI:1343184]"	"Samd9l"
"2974"	"ENSMUSG00000047749"	"zinc finger CCCH-type, antiviral 1-like [Source:MGI Symbol;Acc:MGI:2443387]"	"Zc3hav1l"
"2975"	"ENSMUSG00000047767"	"autophagy related 16-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920933]"	"Atg16l2"
"2976"	"ENSMUSG00000047793"	"sushi, nidogen and EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:3045960]"	"Sned1"
"2977"	"ENSMUSG00000047867"	"GTPase, IMAP family member 6 [Source:MGI Symbol;Acc:MGI:1918876]"	"Gimap6"
"2978"	"ENSMUSG00000047879"	"ubiquitin specific peptidase 14 [Source:MGI Symbol;Acc:MGI:1928898]"	"Usp14"
"2979"	"ENSMUSG00000047909"	"ankyrin repeat domain 16 [Source:MGI Symbol;Acc:MGI:2444796]"	"Ankrd16"
"2980"	"ENSMUSG00000047921"	"trafficking protein particle complex 9 [Source:MGI Symbol;Acc:MGI:1923760]"	"Trappc9"
"2981"	"ENSMUSG00000047986"	"paralemmin 3 [Source:MGI Symbol;Acc:MGI:1921587]"	"Palm3"
"2982"	"ENSMUSG00000047989"	"INO80 complex subunit C [Source:MGI Symbol;Acc:MGI:2443014]"	"Ino80c"
"2983"	"ENSMUSG00000048040"	"adipocyte-related X-chromosome expressed sequence 2 [Source:MGI Symbol;Acc:MGI:1924226]"	"Arxes1"
"2984"	"ENSMUSG00000048040"	"adipocyte-related X-chromosome expressed sequence 2 [Source:MGI Symbol;Acc:MGI:1924226]"	"Arxes2"
"2985"	"ENSMUSG00000048078"	"teneurin transmembrane protein 4 [Source:MGI Symbol;Acc:MGI:2447063]"	"Tenm4"
"2986"	"ENSMUSG00000048200"	"calcium release activated channel regulator 2B [Source:MGI Symbol;Acc:MGI:2446129]"	"Cracr2b"
"2987"	"ENSMUSG00000048218"	"adhesion molecule with Ig like domain 2 [Source:MGI Symbol;Acc:MGI:2145995]"	"Amigo2"
"2988"	"ENSMUSG00000048249"	"CREB3 regulatory factor [Source:MGI Symbol;Acc:MGI:1924378]"	"Crebrf"
"2989"	"ENSMUSG00000048277"	"synaptogyrin 2 [Source:MGI Symbol;Acc:MGI:1328324]"	"Syngr2"
"2990"	"ENSMUSG00000048327"	"cytoskeleton associated protein 2-like [Source:MGI Symbol;Acc:MGI:1917716]"	"Ckap2l"
"2991"	"ENSMUSG00000048332"	"lipoma HMGIC fusion partner [Source:MGI Symbol;Acc:MGI:1920048]"	"Lhfpl6"
"2992"	"ENSMUSG00000048355"	"adipocyte-related X-chromosome expressed sequence 1 [Source:MGI Symbol;Acc:MGI:1923469]"	"Arxes1"
"2993"	"ENSMUSG00000048355"	"adipocyte-related X-chromosome expressed sequence 1 [Source:MGI Symbol;Acc:MGI:1923469]"	"Arxes2"
"2994"	"ENSMUSG00000048371"	"pyruvate dehydrogenase phosphatase catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:1918878]"	"Pdp2"
"2995"	"ENSMUSG00000048376"	"coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]"	"F2r"
"2996"	"ENSMUSG00000048478"	"spermatogenesis associated 33 [Source:MGI Symbol;Acc:MGI:2444920]"	"Spata33"
"2997"	"ENSMUSG00000048485"	"zinc finger and BTB domain containing 8b [Source:MGI Symbol;Acc:MGI:2387181]"	"Zbtb8b"
"2998"	"ENSMUSG00000048486"	"fat storage-inducing transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:2444508]"	"Fitm2"
"2999"	"ENSMUSG00000048489"	"DEPP1 autophagy regulator [Source:MGI Symbol;Acc:MGI:1918730]"	"Depp1"
"3000"	"ENSMUSG00000048537"	"pleckstrin homology like domain, family B, member 1 [Source:MGI Symbol;Acc:MGI:2143230]"	"Phldb1"
"3001"	"ENSMUSG00000048572"	"transmembrane protein 252 [Source:MGI Symbol;Acc:MGI:3583948]"	"Tmem252"
"3002"	"ENSMUSG00000048578"	"malectin [Source:MGI Symbol;Acc:MGI:1924015]"	"Mlec"
"3003"	"ENSMUSG00000048612"	"myoferlin [Source:MGI Symbol;Acc:MGI:1919192]"	"Myof"
"3004"	"ENSMUSG00000048701"	"coiled-coil domain containing 6 [Source:MGI Symbol;Acc:MGI:1923801]"	"Ccdc6"
"3005"	"ENSMUSG00000048707"	"taperin [Source:MGI Symbol;Acc:MGI:2139535]"	"Tprn"
"3006"	"ENSMUSG00000048799"	"centrosomal protein 120 [Source:MGI Symbol;Acc:MGI:2147298]"	"Cep120"
"3007"	"ENSMUSG00000048807"	"solute carrier family 35, member E4 [Source:MGI Symbol;Acc:MGI:2144150]"	"Slc35e4"
"3008"	"ENSMUSG00000048826"	"dishevelled-binding antagonist of beta-catenin 2 [Source:MGI Symbol;Acc:MGI:1920347]"	"Dact2"
"3009"	"ENSMUSG00000048905"	"BCL2 interacting protein 5 [Source:MGI Symbol;Acc:MGI:1925441]"	"Bnip5"
"3010"	"ENSMUSG00000048922"	"cell division cycle associated 2 [Source:MGI Symbol;Acc:MGI:1919787]"	"Cdca2"
"3011"	"ENSMUSG00000048960"	"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]"	"Prex2"
"3012"	"ENSMUSG00000048988"	"leucine rich repeat and fibronectin type III, extracellular 1 [Source:MGI Symbol;Acc:MGI:2442479]"	"Elfn1"
"3013"	"ENSMUSG00000049115"	"angiotensin II receptor, type 1a [Source:MGI Symbol;Acc:MGI:87964]"	"Agtr1a"
"3014"	"ENSMUSG00000049164"	"zinc finger protein 518A [Source:MGI Symbol;Acc:MGI:1919922]"	"Znf518a"
"3015"	"ENSMUSG00000049303"	"synaptotagmin XII [Source:MGI Symbol;Acc:MGI:2159601]"	"Syt12"
"3016"	"ENSMUSG00000049307"	"fucosyltransferase 4 [Source:MGI Symbol;Acc:MGI:95594]"	"Fut4"
"3017"	"ENSMUSG00000049313"	"sortilin-related receptor, LDLR class A repeats-containing [Source:MGI Symbol;Acc:MGI:1202296]"	"Sorl1"
"3018"	"ENSMUSG00000049382"	"keratin 8 [Source:MGI Symbol;Acc:MGI:96705]"	"Krt8"
"3019"	"ENSMUSG00000049404"	"retinoic acid receptor responder (tazarotene induced) 1 [Source:MGI Symbol;Acc:MGI:1924461]"	"Rarres1"
"3020"	"ENSMUSG00000049436"	"uroplakin 1B [Source:MGI Symbol;Acc:MGI:98912]"	"Upk1b"
"3021"	"ENSMUSG00000049482"	"cytosolic thiouridylase subunit 2 [Source:MGI Symbol;Acc:MGI:1914215]"	"Ctu2"
"3022"	"ENSMUSG00000049493"	"plastin 1 (I-isoform) [Source:MGI Symbol;Acc:MGI:104809]"	"Pls1"
"3023"	"ENSMUSG00000049516"	"SPT2 chromatin protein domain containing 1 [Source:MGI Symbol;Acc:MGI:2142062]"	"Spty2d1"
"3024"	"ENSMUSG00000049532"	"spalt like transcription factor 2 [Source:MGI Symbol;Acc:MGI:1354373]"	"Sall2"
"3025"	"ENSMUSG00000049550"	"CAP-GLY domain containing linker protein 1 [Source:MGI Symbol;Acc:MGI:1928401]"	"Clip1"
"3026"	"ENSMUSG00000049608"	"G protein-coupled receptor 55 [Source:MGI Symbol;Acc:MGI:2685064]"	"Gpr55"
"3027"	"ENSMUSG00000049624"	"solute carrier family 17 (anion/sugar transporter), member 5 [Source:MGI Symbol;Acc:MGI:1924105]"	"Slc17a5"
"3028"	"ENSMUSG00000049686"	"ORAI calcium release-activated calcium modulator 1 [Source:MGI Symbol;Acc:MGI:1925542]"	"Orai1"
"3029"	"ENSMUSG00000049721"	"galactose-3-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1858277]"	"Gal3st1"
"3030"	"ENSMUSG00000049764"	"zinc finger protein 280B [Source:MGI Symbol;Acc:MGI:1927865]"	"Zfp280b"
"3031"	"ENSMUSG00000049804"	"armadillo repeat containing, X-linked 4 [Source:MGI Symbol;Acc:MGI:2147887]"	"Armcx4"
"3032"	"ENSMUSG00000049811"	"family with sequence similarity 161, member A [Source:MGI Symbol;Acc:MGI:1921123]"	"Fam161a"
"3033"	"ENSMUSG00000049823"	"zinc finger and BTB domain containing 12 [Source:MGI Symbol;Acc:MGI:88133]"	"Zbtb12"
"3034"	"ENSMUSG00000049892"	"RAS, dexamethasone-induced 1 [Source:MGI Symbol;Acc:MGI:1270848]"	"Rasd1"
"3035"	"ENSMUSG00000049922"	"solute carrier family 35, member C1 [Source:MGI Symbol;Acc:MGI:2443301]"	"Slc35c1"
"3036"	"ENSMUSG00000049932"	"H2A.X variant histone [Source:MGI Symbol;Acc:MGI:102688]"	"H2ax"
"3037"	"ENSMUSG00000050043"	"thioredoxin-related transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:1914208]"	"Tmx2"
"3038"	"ENSMUSG00000050074"	"serine peptidase inhibitor, Kazal type 8 [Source:MGI Symbol;Acc:MGI:1925959]"	"Spink8"
"3039"	"ENSMUSG00000050097"	"carboxyesterase 2B [Source:MGI Symbol;Acc:MGI:2448547]"	"Ces2b"
"3040"	"ENSMUSG00000050106"	"transmembrane channel-like gene family 8 [Source:MGI Symbol;Acc:MGI:2669037]"	"Tmc8"
"3041"	"ENSMUSG00000050148"	"ubiquilin 2 [Source:MGI Symbol;Acc:MGI:1860283]"	"Ubqln2"
"3042"	"ENSMUSG00000050164"	"melanin-concentrating hormone receptor 1 [Source:MGI Symbol;Acc:MGI:2180756]"	"Mchr1"
"3043"	"ENSMUSG00000050188"	"U7 snRNP-specific Sm-like protein LSM10 [Source:MGI Symbol;Acc:MGI:2151045]"	"Lsm10"
"3044"	"ENSMUSG00000050192"	"eukaryotic translation initiation factor 5A2 [Source:MGI Symbol;Acc:MGI:1933735]"	"Eif5a2"
"3045"	"ENSMUSG00000050195"	"stearoyl-coenzyme A desaturase 4 [Source:MGI Symbol;Acc:MGI:2670997]"	"Scd4"
"3046"	"ENSMUSG00000050199"	"leucine-rich repeat-containing G protein-coupled receptor 4 [Source:MGI Symbol;Acc:MGI:1891468]"	"Lgr4"
"3047"	"ENSMUSG00000050212"	"eva-1 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:1922063]"	"Eva1b"
"3048"	"ENSMUSG00000050234"	"gap junction protein, alpha 4 [Source:MGI Symbol;Acc:MGI:95715]"	"Gja4"
"3049"	"ENSMUSG00000050240"	"hypermethylated in cancer 2 [Source:MGI Symbol;Acc:MGI:1929869]"	"Hic2"
"3050"	"ENSMUSG00000050271"	"PEAK1 related kinase activating pseudokinase 1 [Source:MGI Symbol;Acc:MGI:1196223]"	"Prag1"
"3051"	"ENSMUSG00000050310"	"RPTOR independent companion of MTOR, complex 2 [Source:MGI Symbol;Acc:MGI:1926007]"	"Rictor"
"3052"	"ENSMUSG00000050335"	"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]"	"Lgals3"
"3053"	"ENSMUSG00000050373"	"sorting nexin family member 21 [Source:MGI Symbol;Acc:MGI:1917729]"	"Snx21"
"3054"	"ENSMUSG00000050390"	"expressed sequence C77080 [Source:MGI Symbol;Acc:MGI:2140651]"	"Kiaa1522"
"3055"	"ENSMUSG00000050410"	"transcription factor 19 [Source:MGI Symbol;Acc:MGI:103180]"	"Tcf19"
"3056"	"ENSMUSG00000050424"	"paraneoplastic antigen family 5 [Source:MGI Symbol;Acc:MGI:2180566]"	"Pnma5"
"3057"	"ENSMUSG00000050471"	"family with sequence similarity 118, member B [Source:MGI Symbol;Acc:MGI:1924483]"	"Fam118b"
"3058"	"ENSMUSG00000050530"	"family with sequence similarity 171, member A1 [Source:MGI Symbol;Acc:MGI:2442917]"	"Fam171a1"
"3059"	"ENSMUSG00000050565"	"torsin A interacting protein 2 [Source:MGI Symbol;Acc:MGI:3582695]"	"Tor1aip2"
"3060"	"ENSMUSG00000050619"	"zinc finger SCAN domains 29 [Source:MGI Symbol;Acc:MGI:2139317]"	"Zscan29"
"3061"	"ENSMUSG00000050628"	"UBA-like domain containing 2 [Source:MGI Symbol;Acc:MGI:1914635]"	"Ubald2"
"3062"	"ENSMUSG00000050666"	"V-set and transmembrane domain containing 4 [Source:MGI Symbol;Acc:MGI:2444633]"	"Vstm4"
"3063"	"ENSMUSG00000050714"	"zinc finger and BTB domain containing 26 [Source:MGI Symbol;Acc:MGI:2444402]"	"Zbtb26"
"3064"	"ENSMUSG00000050730"	"Rho GTPase activating protein 42 [Source:MGI Symbol;Acc:MGI:1918794]"	"Arhgap42"
"3065"	"ENSMUSG00000050777"	"transmembrane protein 37 [Source:MGI Symbol;Acc:MGI:2157899]"	"Tmem37"
"3066"	"ENSMUSG00000050846"	"zinc finger protein 623 [Source:MGI Symbol;Acc:MGI:1926084]"	"Zfp623"
"3067"	"ENSMUSG00000050890"	"PDLIM1 interacting kinase 1 like [Source:MGI Symbol;Acc:MGI:2385213]"	"Pdik1l"
"3068"	"ENSMUSG00000050966"	"lin-28 homolog A [Source:MGI Symbol;Acc:MGI:1890546]"	"Lin28a"
"3069"	"ENSMUSG00000051000"	"FHF complex subunit HOOK interacting protein 1A [Source:MGI Symbol;Acc:MGI:2444746]"	"Fhip1a"
"3070"	"ENSMUSG00000051041"	"olfactomedin-like 1 [Source:MGI Symbol;Acc:MGI:2679264]"	"Olfml1"
"3071"	"ENSMUSG00000051048"	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]"	"P4ha3"
"3072"	"ENSMUSG00000051065"	"Mab-21 domain containing 2 [Source:MGI Symbol;Acc:MGI:1917028]"	"Mb21d2"
"3073"	"ENSMUSG00000051159"	"Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 [Source:MGI Symbol;Acc:MGI:108023]"	"Cited1"
"3074"	"ENSMUSG00000051220"	"excision repair cross-complementing rodent repair deficiency complementation group 6 like [Source:MGI Symbol;Acc:MGI:2654144]"	"Ercc6l"
"3075"	"ENSMUSG00000051278"	"zinc finger, GRF-type containing 1 [Source:MGI Symbol;Acc:MGI:1918893]"	"Zgrf1"
"3076"	"ENSMUSG00000051329"	"nucleoporin 160 [Source:MGI Symbol;Acc:MGI:1926227]"	"Nup160"
"3077"	"ENSMUSG00000051341"	"zinc finger protein 52 [Source:MGI Symbol;Acc:MGI:99199]"	"Zfp52"
"3078"	"ENSMUSG00000051343"	"RAB11 family interacting protein 5 (class I) [Source:MGI Symbol;Acc:MGI:1098586]"	"Rab11fip5"
"3079"	"ENSMUSG00000051359"	"neurocalcin delta [Source:MGI Symbol;Acc:MGI:1196326]"	"Ncald"
"3080"	"ENSMUSG00000051378"	"kinesin family member 18B [Source:MGI Symbol;Acc:MGI:2446979]"	"Kif18b"
"3081"	"ENSMUSG00000051379"	"fibronectin leucine rich transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1918686]"	"Flrt3"
"3082"	"ENSMUSG00000051403"	"protein phosphatase 1, regulatory subunit 37 [Source:MGI Symbol;Acc:MGI:2687042]"	"Ppp1r37"
"3083"	"ENSMUSG00000051495"	"interferon regulatory factor 2 binding protein 2 [Source:MGI Symbol;Acc:MGI:2443921]"	"Irf2bp2"
"3084"	"ENSMUSG00000051517"	"Rho guanine nucleotide exchange factor (GEF) 39 [Source:MGI Symbol;Acc:MGI:3036286]"	"Arhgef39"
"3085"	"ENSMUSG00000051579"	"transcription elongation factor A (SII)-like 8 [Source:MGI Symbol;Acc:MGI:1913934]"	"Tceal8"
"3086"	"ENSMUSG00000051586"	"microtubule associated monooxygenase, calponin and LIM domain containing 3 [Source:MGI Symbol;Acc:MGI:2442733]"	"Mical3"
"3087"	"ENSMUSG00000051652"	"leucine rich repeat containing 3 [Source:MGI Symbol;Acc:MGI:2447899]"	"Lrrc3"
"3088"	"ENSMUSG00000051674"	"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2140972]"	"Dcun1d4"
"3089"	"ENSMUSG00000051675"	"tripartite motif-containing 32 [Source:MGI Symbol;Acc:MGI:1917057]"	"Trim32"
"3090"	"ENSMUSG00000051735"	"Ras and Rab interactor-like [Source:MGI Symbol;Acc:MGI:2444024]"	"Rinl"
"3091"	"ENSMUSG00000051768"	"X-ray repair complementing defective repair in Chinese hamster cells 1 [Source:MGI Symbol;Acc:MGI:99137]"	"Xrcc1"
"3092"	"ENSMUSG00000051817"	"SRY (sex determining region Y)-box 12 [Source:MGI Symbol;Acc:MGI:98360]"	"Sox12"
"3093"	"ENSMUSG00000051853"	"ADP-ribosylation factor 3 [Source:MGI Symbol;Acc:MGI:99432]"	"Arf3"
"3094"	"ENSMUSG00000051910"	"SRY (sex determining region Y)-box 6 [Source:MGI Symbol;Acc:MGI:98368]"	"Sox6"
"3095"	"ENSMUSG00000051934"	"spermatogenesis associated, serine-rich 2 [Source:MGI Symbol;Acc:MGI:1919822]"	"Spats2"
"3096"	"ENSMUSG00000051950"	"beta-3-glucosyltransferase [Source:MGI Symbol;Acc:MGI:2685903]"	"B3glct"
"3097"	"ENSMUSG00000052040"	"Kruppel-like factor 13 [Source:MGI Symbol;Acc:MGI:1354948]"	"Klf13"
"3098"	"ENSMUSG00000052056"	"zinc finger protein 217 [Source:MGI Symbol;Acc:MGI:2685408]"	"Zfp217"
"3099"	"ENSMUSG00000052062"	"par-3 family cell polarity regulator beta [Source:MGI Symbol;Acc:MGI:1919301]"	"Pard3b"
"3100"	"ENSMUSG00000052102"	"glucosamine-6-phosphate deaminase 1 [Source:MGI Symbol;Acc:MGI:1347054]"	"Gnpda1"
"3101"	"ENSMUSG00000052187"	"hemoglobin Y, beta-like embryonic chain [Source:MGI Symbol;Acc:MGI:96027]"	"Hbb-y"
"3102"	"ENSMUSG00000052217"	"hemoglobin Z, beta-like embryonic chain [Source:MGI Symbol;Acc:MGI:96024]"	"Hbb-bh1"
"3103"	"ENSMUSG00000052229"	"G protein-coupled receptor 17 [Source:MGI Symbol;Acc:MGI:3584514]"	"Gpr17"
"3104"	"ENSMUSG00000052253"	"zinc finger protein 622 [Source:MGI Symbol;Acc:MGI:1289282]"	"Znf622"
"3105"	"ENSMUSG00000052331"	"ankyrin repeat domain 44 [Source:MGI Symbol;Acc:MGI:3045243]"	"Ankrd44"
"3106"	"ENSMUSG00000052396"	"monoacylglycerol O-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:2663253]"	"Mogat2"
"3107"	"ENSMUSG00000052397"	"ezrin [Source:MGI Symbol;Acc:MGI:98931]"	"Ezr"
"3108"	"ENSMUSG00000052560"	"copine VIII [Source:MGI Symbol;Acc:MGI:1914121]"	"Cpne8"
"3109"	"ENSMUSG00000052632"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:MGI Symbol;Acc:MGI:2685438]"	"Asap2"
"3110"	"ENSMUSG00000052713"	"zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338]"	"Zfp608"
"3111"	"ENSMUSG00000052713"	"zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338]"	"Znf608"
"3112"	"ENSMUSG00000052727"	"microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]"	"Map1b"
"3113"	"ENSMUSG00000052798"	"nucleoporin 107 [Source:MGI Symbol;Acc:MGI:2143854]"	"Nup107"
"3114"	"ENSMUSG00000052821"	"cysteinyl leukotriene receptor 1 [Source:MGI Symbol;Acc:MGI:1926218]"	"Cysltr1"
"3115"	"ENSMUSG00000052833"	"SUMO1 activating enzyme subunit 1 [Source:MGI Symbol;Acc:MGI:1929264]"	"Sae1"
"3116"	"ENSMUSG00000052837"	"jun B proto-oncogene [Source:MGI Symbol;Acc:MGI:96647]"	"Junb"
"3117"	"ENSMUSG00000052997"	"ubiquitin-like modifier activating enzyme 2 [Source:MGI Symbol;Acc:MGI:1858313]"	"Uba2"
"3118"	"ENSMUSG00000053040"	"aph1 homolog C, gamma secretase subunit [Source:MGI Symbol;Acc:MGI:1915568]"	"Aph1c"
"3119"	"ENSMUSG00000053113"	"suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791]"	"Socs3"
"3120"	"ENSMUSG00000053128"	"ring finger protein 26 [Source:MGI Symbol;Acc:MGI:2388131]"	"Rnf26"
"3121"	"ENSMUSG00000053175"	"B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140]"	"Bcl3"
"3122"	"ENSMUSG00000053279"	"aldehyde dehydrogenase family 1, subfamily A1 [Source:MGI Symbol;Acc:MGI:1353450]"	"Aldh1a1"
"3123"	"ENSMUSG00000053293"	"nuclear pore membrane protein 121 [Source:MGI Symbol;Acc:MGI:2137624]"	"Pom121"
"3124"	"ENSMUSG00000053317"	"Sec61 beta subunit [Source:MGI Symbol;Acc:MGI:1913462]"	"Sec61b"
"3125"	"ENSMUSG00000053329"	"glutamine amidotransferase like class 1 domain containing 3A [Source:MGI Symbol;Acc:MGI:1351861]"	"Gatd3a"
"3126"	"ENSMUSG00000053329"	"glutamine amidotransferase like class 1 domain containing 3A [Source:MGI Symbol;Acc:MGI:1351861]"	"Gatd3"
"3127"	"ENSMUSG00000053333"	"DIS3 like 3'-5' exoribonuclease 2 [Source:MGI Symbol;Acc:MGI:2442555]"	"Dis3l2"
"3128"	"ENSMUSG00000053398"	"3-phosphoglycerate dehydrogenase [Source:MGI Symbol;Acc:MGI:1355330]"	"Phgdh"
"3129"	"ENSMUSG00000053411"	"chromobox 7 [Source:MGI Symbol;Acc:MGI:1196439]"	"Cbx7"
"3130"	"ENSMUSG00000053414"	"hormonally upregulated Neu-associated kinase [Source:MGI Symbol;Acc:MGI:1347352]"	"Hunk"
"3131"	"ENSMUSG00000053470"	"lysine (K)-specific demethylase 3A [Source:MGI Symbol;Acc:MGI:98847]"	"Kdm3a"
"3132"	"ENSMUSG00000053536"	"cleavage stimulation factor, 3' pre-RNA subunit 2, tau [Source:MGI Symbol;Acc:MGI:1932622]"	"Cstf2t"
"3133"	"ENSMUSG00000053559"	"small cell adhesion glycoprotein [Source:MGI Symbol;Acc:MGI:2448476]"	"Smagp"
"3134"	"ENSMUSG00000053560"	"immediate early response 2 [Source:MGI Symbol;Acc:MGI:104815]"	"Ier2"
"3135"	"ENSMUSG00000053580"	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]"	"Tanc2"
"3136"	"ENSMUSG00000053581"	"zinc finger, AN1-type domain 2A [Source:MGI Symbol;Acc:MGI:2140729]"	"Zfand2a"
"3137"	"ENSMUSG00000053604"	"ribose 5-phosphate isomerase A [Source:MGI Symbol;Acc:MGI:103254]"	"Rpia"
"3138"	"ENSMUSG00000053641"	"DENN/MADD domain containing 4A [Source:MGI Symbol;Acc:MGI:2142979]"	"Dennd4a"
"3139"	"ENSMUSG00000053644"	"aldehyde dehydrogenase family 7, member A1 [Source:MGI Symbol;Acc:MGI:108186]"	"Aldh7a1"
"3140"	"ENSMUSG00000053768"	"coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:MGI Symbol;Acc:MGI:1913325]"	"Chchd3"
"3141"	"ENSMUSG00000053819"	"calcium/calmodulin-dependent protein kinase II, delta [Source:MGI Symbol;Acc:MGI:1341265]"	"Camk2d"
"3142"	"ENSMUSG00000053862"	"solute carrier family 51, beta subunit [Source:MGI Symbol;Acc:MGI:3582052]"	"Slc51b"
"3143"	"ENSMUSG00000053886"	"SH2 domain containing 4A [Source:MGI Symbol;Acc:MGI:1919531]"	"Sh2d4a"
"3144"	"ENSMUSG00000053897"	"solute carrier family 39 (metal ion transporter), member 8 [Source:MGI Symbol;Acc:MGI:1914797]"	"Slc39a8"
"3145"	"ENSMUSG00000053907"	"methionine adenosyltransferase II, alpha [Source:MGI Symbol;Acc:MGI:2443731]"	"Mat2a"
"3146"	"ENSMUSG00000053925"	"predicted gene 9929 [Source:MGI Symbol;Acc:MGI:3708526]"	""
"3147"	"ENSMUSG00000054034"	"transcription elongation factor A (SII)-like 5 [Source:MGI Symbol;Acc:MGI:3036236]"	"Tceal5"
"3148"	"ENSMUSG00000054072"	"interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259]"	"Iigp1"
"3149"	"ENSMUSG00000054083"	"calpain 12 [Source:MGI Symbol;Acc:MGI:1891369]"	"Capn12"
"3150"	"ENSMUSG00000054091"	"RIKEN cDNA 1810037I17 gene [Source:MGI Symbol;Acc:MGI:1914954]"	""
"3151"	"ENSMUSG00000054115"	"S-phase kinase-associated protein 2 [Source:MGI Symbol;Acc:MGI:1351663]"	"Skp2"
"3152"	"ENSMUSG00000054226"	"Tp53rk binding protein [Source:MGI Symbol;Acc:MGI:1917036]"	"Tprkb"
"3153"	"ENSMUSG00000054252"	"fibroblast growth factor receptor 3 [Source:MGI Symbol;Acc:MGI:95524]"	"Fgfr3"
"3154"	"ENSMUSG00000054263"	"LIF receptor alpha [Source:MGI Symbol;Acc:MGI:96788]"	"Lifr"
"3155"	"ENSMUSG00000054277"	"ADP-ribosylation factor GTPase activating protein 3 [Source:MGI Symbol;Acc:MGI:1913501]"	"Arfgap3"
"3156"	"ENSMUSG00000054364"	"ras homolog family member B [Source:MGI Symbol;Acc:MGI:107949]"	"Rhob"
"3157"	"ENSMUSG00000054474"	"threonine synthase-like 2 (bacterial) [Source:MGI Symbol;Acc:MGI:3041254]"	"Thnsl2"
"3158"	"ENSMUSG00000054484"	"transmembrane protein 62 [Source:MGI Symbol;Acc:MGI:2139461]"	"Tmem62"
"3159"	"ENSMUSG00000054499"	"death effector domain-containing DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1914629]"	"Dedd2"
"3160"	"ENSMUSG00000054509"	"poly (ADP-ribose) polymerase family, member 4 [Source:MGI Symbol;Acc:MGI:2685589]"	"Parp4"
